moment,model
Average annual Sharpe ratio,0.40552431230203834
Average annual real interest rate,0.01343171521987574
Annual volatility of real interest rate,0.02696253408384694
Average annual value-weighted industry return,0.10347785985725122
Annual volatility of value-weighted industry return,0.2665189410655304
Average volatility of individual stock return,0.3936901005521497
Average industry book-to-market ratio,0.454185132604381
Volatility of industry book-to-market ratio,0.09084878006907326
Annual average rate of investment,0.11978021691518435
Annual average rate of disinvestment,0.009485656260308131
