portfolio,mean_return_annual_pct,volatility_annual_pct,market_beta,market_beta_tstat,capm_r2,mean_book_to_market
BM1,8.34734090511402,22.73608452168389,0.8181839909654299,425.210385579498,0.9976934351500947,0.3156333655008134
BM2,8.997690401873438,24.643743541584332,0.8879936216678157,470.3179993681913,0.9981138632808937,0.3666932405898929
BM3,9.773458391493461,25.643223552794453,0.9243700628192291,484.8279347909445,0.9982248731263218,0.3984557995293233
BM4,9.86775767862278,26.697834045295178,0.962792665101348,504.44828178263054,0.9983600516040335,0.4266344313387934
BM5,10.598079662102933,27.748924934649814,1.0011987889967278,532.2880561266753,0.9985268648469895,0.4544476832114664
BM6,10.958056715915543,28.72059316395783,1.0368327244422961,526.4911556372402,0.9984942956334107,0.4839923123769696
BM7,11.841805986108467,29.95241815565913,1.081482940919422,518.4399922056231,0.9984472397254942,0.5178516315715547
BM8,12.124689920718911,31.56913310351999,1.140233524909602,459.73168205738966,0.9980261718234803,0.5602914067172429
BM9,13.626775393083523,33.51024283293565,1.2106035396375041,409.50024870953865,0.9975135099347061,0.6227157635577659
BM10,16.23180887854332,39.10331239881293,1.4116971255127706,264.7579667040256,0.9940721648076071,0.8037018419065058
HML10,7.092261451508669,16.734667371069595,0.5935131345473423,86.45123465350459,0.9470337370481038,nan
